response_timestamp,experience_years,Gender?,Age range?,Location?,Highest level of education?,What type of content writing do you primarily focus on? [Click all that apply],What industries do you primarily write for? [Click all that apply],How do you primarily source your clients? [Click all that apply],What's your current average monthly income from content writing? (Select the range closest to your earnings),What type of clients do you currently serve? ,What percentage of your current workflow involves AI tools?,Which AI do you often use in your workflow? [Click all that apply] ,What do you use AI for? [Click all that apply],How many days in a week do you work?,What are the biggest challenges you currently face as a content writer? [Click all that apply],What skills have become more important in the last 2 years? (Select all that apply),Would you choose content writing as a career if you were starting today?,What has contributed greatly to your success as a content writer?,What has been the most effective strategy for getting your clients? ,What trends do you see shaping content writing in Nigeria over the next 2-5 years and how are you preparing? ,Which content and industry niches do you see the most growth opportunities for content writers? ,What advice would you give to new content writers entering the field now?,How can the content writing community in Nigeria be strengthened?
2024/11/15 7:22:53 PM GMT+1,2 - 4 years,She/Her,31-35,Kano,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content;Case studies,SAAS;Finance;Healthcare,Communities,"Below ₦200,000",Nigerian companies,51-75%,Chat GPT;Grammarly;Quillbot,Generating ideas;Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients;Lack of requires skills,AI tool proficiency;SEO expertise,Maybe,Joining communities and following industry experts on social media,Referrals ,,"Saas, Education, and Health","Join a village, follow industry experts and stay up to date...",Creating communities to network and learn from experts in the industry and from each other
2024/11/15 7:54:42 PM GMT+1,4 - 6 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Website content;SEO Content,SAAS;Technology;Education,Referrals;Freelance platforms;Direct pitching,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Claude AI;Grammarly;Quillbot;Perplexity AI,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Connectivity issues;Technological challenges;Payment issues,AI tool proficiency;SEO expertise;Content strategy,Maybe,"My drive and hunger for growth have primarily contributed to my success as a content writer. I'm always willing to improve my craft, and not compromising on quality has also helped me this far. Over time, I've received great feedback from senior colleagues and clients. And what else does this translate to, if not growth? ","It has always been referrals/recommendations aka word-of-mouth. This has been working for me ever since. I still struggle to get clients through other means but would love to, hopefully.","Two trends I know that will keep shaping content writing in Nigeria over the next 2-5 years are digital marketing and artificial intelligence (technology). I'm not sure anyone can successfully venture into content writing without knowledge of digital marketing and knowing how to maximize AI for productivity.

But if you choose to ignore them, you'd surely struggle as a content writer. I've picked up skills in digital marketing and AI, so it's safe to say I'm prepared. But you know, learning never ends. So I'm continuously learning and advancing these skills as they keep evolving. ","Web3, tech, finance, education, healthcare, SaaS, and AI. ","1. Focus on improving your skills. Seize every opportunity to get better every day. 
2. Pick up complementary skills. Don't just do ""writing"" alone, learn other associated/closely related skills. 
3. Join a community of writers. It will help you grow faster and build your network. 
4. NEVER EVER compromise on quality. If you know you can't deliver a job excellently, it's better you don't accept it at all. Underperformance will hurt your brand, reputation, and portfolio.
5. Have good & healthy relationships with your clients. They can always mention your name in rooms that matter.
6. Don't just work because you need money to survive or earn a living, work because you want to positively impact that business/brand/company. 
7. Attend conferences, seminars, networking events, and social gatherings ","It can be strengthened by giving everyone equal opportunity regardless of whether you're a newbie writer or deep-rooted in the field. This way, everyone will feel important and grow together."
2024/11/15 8:14:33 PM GMT+1,4 - 6 years,She/Her,18-30,Enugu,Bachelor's Degree,Blog posts;Social media content;Email newsletters;SEO Content,SAAS;Technology;Cryptocurrency/Web3,Referrals;LinkedIn,"₦200,000 - ₦500,000",Nigerian companies,0-25%,Chat GPT;Grammarly,Editing content,5 - 6 days,Finding high-paying clients,SEO expertise;Content strategy,Yes,My Network ,LinkedIn ,"Increased focus on SEO, Web3. I'm already positioned in the Web3 space and growing my SEO expertise. ","Web3
Cybersecurity",Learn SEO.,More education on how client acquisition. 
2024/11/16 1:35:09 AM GMT+1,Less than 2 years,She/Her,18-30,Edo State ,Bachelor's Degree,Blog posts;Social media content;SEO Content,Technology,Social media;Freelance platforms;LinkedIn,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly;Quillbot,Generating ideas,3 - 4 days,Finding high-paying clients;Connectivity issues,AI tool proficiency;SEO expertise;Content strategy,Yes,"I wouldn't claim to have reached a point of success just yet, but constant learning has truly helped.",Networking,"The current trends demand the production of high-quality, engaging content, including video and multimedia storytelling. Additionally, effective SEO and digital marketing strategies, and the strategic use of AI.

Staying ahead requires learning constantly, adapting to various forms of writing, and most importantly, networking.","Tech, Education, Health and Finance ","It ain't easy, but you got to make it worth it. To succeed, firstly, love what you do. Go ahead to develop a niche expertise, build a strong online presence, hone your writing skills, and stay up-to-date with industry trends.","Regular workshops and conferences, Establishment of professional associations, and mentorship. "
2024/11/16 5:21:46 AM GMT+1,4 - 6 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Website content;SEO Content,SAAS;Technology;E-commerce,Freelance platforms;LinkedIn,"₦500,000 - ₦2,000,000",International companies,0-25%,Chat GPT;Copy AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Connectivity issues;Technological challenges;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,No,Online classes and webinars have helped a lot ,Using Upwork ,I don’t know probably better payment platforms and meetup avenues ,SAAS and E-commerce ,"Build knowledge of content strategy, and start learning as you go on",More meetups and tech conferences especially beyond the shores of Lagos 
2024/11/16 11:37:49 AM GMT+1,2 - 4 years,She/Her,31-35,Port - Harcourt,Bachelor's Degree,Social media content;Education and autobiography ,Technology;Education,Referrals,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Claude AI;Grammarly,Editing content,3 - 4 days,Finding high-paying clients,Content strategy,No,Openness to learn and to listen to my clients.,Going for events and telling people what I do for a living.,None at the moment ,Web3 and Fintech ,Pick a niche ,To have an actual community 
2024/11/16 12:05:30 PM GMT+1,6 - 8 years,He/Him,31-35,Ibadan ,Bachelor's Degree,Blog posts;SEO Content,SAAS;Technology;E-commerce,Freelance platforms;LinkedIn,"₦500,000 - ₦2,000,000",International companies,0-25%,Claude AI;Grammarly,"Generating ideas;Critiquing. To check flow, grammar and logical gaps if any. I also use it to come up with analogies or explain complex ideas in a straightforward way. Put simply, I use AI as a writing assistant on steroids. ",3 - 4 days,Finding high-paying clients;Market saturation;Meeting deadlines & maintaining high quality standards,Content strategy;Learning different styles of writing other than the usual article writing. Acquiring skills from other fields like investigative research and journalism as well as data reporting are skills that more writers should aim to acquire to stand out (especially if they plan to work in the tech and SaaS industry).,Maybe,"Reading any and everything and also curiosity. Then, intentionally applying what I've read to my work. ","Frankly, it's not that effective but it's all I've ever done. And that is applying for jobs on platforms and LinkedIn like the test of us. I've tried cold pitching on slack groups; not a chance. 

About to try proper channels like email and maybe, LinkedIn. ",,"Web3, SaaS, AI and Automation.","Be obsessed with learning. Take any opportunity to learn on the job even if they're not ideal at first. Keep improving and never stop applying for jobs, networking and reaching out to prospects. 

The most successful writers in Nigeria do a combination of all or some of these things. ","More experienced writers should be willing to teach without feeling like a Messiah. If everyone gives back to the community wholeheartedly, we'll spur a stronger feedback cycle that keeps paying it forward."
2024/11/16 12:11:12 PM GMT+1,4 - 6 years,He/Him,18-30,"Ilorin, Kwara ",Bachelor's Degree,Blog posts;Website content;Technical writing;Whitepapers;Case studies,SAAS;Technology;Cryptocurrency/Web3;Manufacturing,Social media;LinkedIn;Direct pitching;X,"Below ₦200,000",Both local and international,26-50%,Chat GPT;Gemini,"Generating ideas;Editing content;Evaluating structure, flow and organization",5 - 6 days,Finding high-paying clients,AI tool proficiency;SEO expertise;Content strategy,Yes,Ability to learn new concepts. The ability to iterate on a working system,Cold Pitching,The move towards deeper research into subject matters for more actionable insights. I'm positioning myself by narrowing down my niches and demonstrating deeper technical expertise in them,Technical content in the cryptocurrency industry,Pay more attention to your writing style and the art of demonstrating its effectiveness. Address every subject matter with the intention of making it unique and resonant. ,"More online communities, not just to share work opportunities, but also to discuss nuances, anecdotes, tips and other helpful information"
2024/11/16 1:57:39 PM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;Technical writing;SEO Content,SAAS;Technology;Finance;Cryptocurrency/Web3;E-commerce,Social media;Referrals;Freelance platforms;LinkedIn,"₦200,000 - ₦500,000",Both local and international,51-75%,Chat GPT;Grammarly,Generating ideas,5 - 6 days,Finding high-paying clients;Technological challenges;Market saturation;Payment issues,AI tool proficiency;SEO expertise,Yes,"I've been fortunate enough to have met kind mentors and a supportive network too!
",Referrals,I think content writing will become overly saturated so I'm upskilling.,SaaS and Web3,Having other skills that tie into writing. Everybody can ‘write’ and there's AI too. Don't dull!,"By sharing more helpful resources and organizing IRL events,"
2024/11/16 4:35:42 PM GMT+1,2 - 4 years,She/Her,18-30,Akwa - Ibom,Bachelor's Degree,Blog posts,Wedding blog,Freelance platforms;LinkedIn,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Competition from AI,Content strategy,Yes,Encouragement from fellow writers,Cold emailing,Diversifying,SAAS,Choose your niche and go all in,Support and encouragements amongst writers
2024/11/17 7:29:11 AM GMT+1,2 - 4 years,She/Her,18-30,Abia,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;Technical writing;SEO Content,SAAS;Technology;Finance;Healthcare;E-commerce,Referrals;Freelance platforms,"Below ₦200,000",International companies,26-50%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Connectivity issues;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise,Yes,,,,,,
2024/11/17 2:28:36 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content,SAAS;Technology;Finance;Cryptocurrency/Web3;E-commerce,Social media;Freelance platforms;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Nigerian companies;Both local and international,51-75%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Market saturation;Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy,Maybe,"Starting early, personal Brando g ",Personal branding ,More people taking up international work ,"Crypto, fintech ","Personal branding, strong portfolio ","More WhatsApp or telegram groups, a union etc "
2024/11/17 3:50:49 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Social media content;Technical writing;SEO Content,Finance;Cryptocurrency/Web3,Referrals;Freelance platforms;LinkedIn;Direct pitching,"₦500,000 - ₦2,000,000",International companies,0-25%,Chat GPT;Grammarly,Generating ideas;Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients;Market saturation,SEO expertise;Content strategy,No,My passion for writing. ,"Doing great jobs, having a strong social media profile.",SEO and Influencer content.,"Technical writing, B2B and SaaS",Keep out the AI noise.,By OGs sharing resources they used to grow.
2024/11/18 1:49:28 PM GMT+1,2 - 4 years,She/Her,18-30,Ogun,Masters' Degree,Blog posts;Social media content;Email newsletters;Technical writing;SEO Content;Case studies,SAAS;Technology;Finance;Product/ Project Management ,Social media;Referrals;LinkedIn,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Grammarly,Generating ideas,5 - 6 days,Finding high-paying clients,Data analysis;Content strategy,Yes,"Learning a lot, exposure to LinkedIn and other writers",Being active on LinkedIn ,"AI, Learning more about it ","Web3, AI","Learn a lottttttttt
Implement what you learn
Document your wins (small and big)",Create a community where learnings can occur and resources can be shared
2024/11/18 2:15:34 PM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Technical writing;SEO Content;Case studies,SAAS;Technology,Referrals;LinkedIn,"Above ₦2,000,000",International companies,0-25%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts,3 - 4 days,Meeting deadlines & maintaining high quality standards,Content strategy,Yes,My network. Glad to have the type of friends I have. ,Doing great work to a point that people like it and refer other people. ,"I honestly don't focus on content writing in Nigeria. However, regarding content writing on a global scale, I see a shift that embodies more than just writing but an entire experience. I'm talking reading content, then watching videos about the content, and other forms of content. 

Every business will be forced to become a 'brand' in order to give their readers a complete user experience. ","I'd say SaaS still takes it all. The barrier to entry is quite low, giving everyone a fighting chance. To make it ever better, there's a significant growth potential career-wise and also financially. ","Like I've always said, join an agency - even if it's just for one year. You'll skip through 2 years of doing all by yourself and making some silly mistakes many of us did. 

Plus, you'll get a good portfolio out of it. And if you do your job well, you might even land clients immediately you decide to go solo. Sounds to me like a win-win. ","I'd say through open space of having people that want to learn and grow join the community (this is why I LOVE CHIMA MMEJE) - and not echo chambers filled with egotistic individuals who only want to be the spotlight but never help others grow. 

"
2024/11/18 2:42:11 PM GMT+1,2 - 4 years,He/Him,18-30,Ibadan,Bachelor's Degree,Blog posts;SEO Content,SAAS;Technology;E-commerce,Social media;Referrals;LinkedIn;Direct pitching,"Above ₦2,000,000",International companies,0-25%,Chat GPT;Claude AI;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Competition from AI,Delivering high-quality content (one that is different from what AI can create).,Yes,Doing the things I said I would do when I said I would do them. I also connected with other writers. This allowed us to share ideas and keep each other accountable.,Posting on LinkedIn and connecting with folks responsible for hiring writers at the companies I'm interested in,"I see more companies paying attention to creating content. It's nice to see. I don't know how much they pay though.

Given the economic situation, I also see more people looking to work with foreign companies. ","I'd say opportunities show up in industries that are generally experiencing growth. For instance, SaaS companies were popping up everywhere during the pandemic. This resulted in a ton of opportunities for writers.

Right now, industries in the AI and web3 space are the rave, so I wouldn't be surprised to see more opportunities there.","Learn as much as you can. Take courses and shadow people you want to be like. Read stuff expert writers write and content from companies you'd like to work with.

That said, you can only learn so much without putting it to work. So work on personal projects, post on LinkedIn, write guest posts to get in front of the right people.","We could host our version of tech events, be more transparent about rates, and provide resources so that'd help people level up and be able to compete with writers from other countries."
2024/11/18 3:22:17 PM GMT+1,4 - 6 years,He/Him,18-30,Osun State ,Bachelor's Degree,Blog posts;Website content;SEO Content,Technology;Finance;Cryptocurrency/Web3;E-commerce,Freelance platforms;LinkedIn,"Below ₦200,000",Nigerian companies,51-75%,Chat GPT;Claude AI;Grammarly;Quillbot,Generating ideas;Editing content,7,Finding high-paying clients;Payment issues,AI tool proficiency;SEO expertise;Content strategy,Yes,"Passion 
My network and connections I've made
And strangely, the few hurdles I've had when I just started.","Well, one beautiful thing about being a writer is that ""you're a charmer"".
You could literally sweet tone the result oriented services you're gonna make for your clients with your creativity as a writer.

Above all too, I've always extend the scope of my work with client over the usual client - employer type of relationship, show them you'll genuinely care about them, not just their business.
Trust me, they'll keep coming back.","AI, AI, AI.
Infact not just Nigeria, all the world.

Artificial intelligence is gonna reshape this whole writing enterprise so much.

If you wanna keep your job and relevance make it your best friend and learn to tame it.

That's what I've been doing ","Web3
Blockchain 
Digital skills 
Finance ","Be creative.
Your creative is your weapon especially as chatgpt had made everyone a write this days.

Writing that communicates to the heart, that is the work of a natural writer not even the brightest of AI can do that.

Master your craft.
Be patient, the results doesn't come easily.

Network like your life depends on it.
Don't be afraid, reach out to top successful experts in the space, the worst they could say is no.

I mean the list could go on and on really....

Above all, don't take away the God factor.
It's your only lifeline.","Proper orientation really.

People don't know there's even a need for content writing community.

"
2024/11/18 5:33:33 PM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Bachelor's Degree,"Blog posts;Website content;Email newsletters;Corporate speeches, Welcome Addresses, Official Letters, Scripts for KOLs",SAAS;Technology;Education,Employment contract ,"₦200,000 - ₦500,000",Both local and international,0-25%,Chat GPT;Grammarly;Quillbot,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Competition from AI;Connectivity issues;Meeting deadlines & maintaining high quality standards,SEO expertise;Data analysis;Content strategy,Maybe,My foundation in Mass Communication and the support and mentorship from my dad who worked in PR for 30+ years,All my clients are from my employer. A few times I've been referred for gigs but not as often as I would want,SEO. I'm upskilling,"Web copy, Email marketing and social media content ",Just keep writing ,When the work we do is more valued and we are more connected in the field
2024/11/18 8:00:37 PM GMT+1,4 - 6 years,She/Her,18-30,Abuja,Bachelor's Degree,Blog posts;Social media content;SEO Content;Case studies,SAAS,Social media;LinkedIn;Direct pitching,"Above ₦2,000,000",International companies,0-25%,Chat GPT;Grammarly,Generating ideas;Writing first drafts;Editing content;Reverse engineering processes for new projects e.g organizing a webinar,5 - 6 days,Connectivity issues;Market saturation,SEO expertise;Content strategy,Yes,"1. Building relationships with my peers and people ahead of me. I try to meet with other marketers every month for a short chat. I usually don't ask for anything. I just try to learn about them. From these calls, I have been able to learn better ways of marketing, find opportunities and build friendships with people. 
2. Joining communities and taking advantage of mentorship programs: Communities like the FCDC and Superpath have been helping in helping me secure opportunities to write for clients and have connected me with leading writers/marketers who offer their knowlegde for free. I have even been gifted access to tools. 
3. Talking about my work: I have used LinkedIn and my newsletter to share what I am doing/learning and that has helped keep me visible. Some prospects reached out or got on a call with me just because they had read something I had written before. ","Cold pitching via email
Relationship building through communities
Applying for opportunities on job boards","I think that more writers will try to expand their skills beyond writing. As AI makes it harder to get work, more people will decide to add other skills like strategy, development, or design to help them stand out. ",B2B SaaS is one of the biggest and best places to work at. ,"1. Understand how your work fits into the broader marketing strategy of the company or business you’re writing for. Every asset you create serves a purpose—whether it’s educating an audience or driving leads. Once you identify that purpose, you can craft content that aligns with the goal, rather than producing generic pieces that lack impact. For example, if you're writing a BoFu article that's supposed to convince readers to choose your client’s brand, you'll know to include specific CTAs, call out JTBDs, and address key pain points, making the piece more effective and impactful.

2. Try to understand who the customers are. It's not enough to just write a piece. For it to stand out, you need to personalize it whether that's with the phrases they use or the JTBDs they are tasked with or with their roles. Of course, it's not easy to speak with customers if you're freelancing or even in-house but if you can access case studies or transcripts from customer calls, you'd find a lot of information about how customers think and make buying decisions. ",I think more events and meetups would help. I've been to several this year e.g Search Africon and the FCDC meetup that helped me meet other people in the field and learn from experts. It's also helpful to get more advice with local context to help us market to Nigerians. 
2024/11/18 8:27:36 PM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Masters' Degree,Blog posts;Website content;Email newsletters;SEO Content;Case studies,SAAS,LinkedIn,"₦500,000 - ₦2,000,000",International companies,0-25%,Chat GPT;Claude AI,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Market saturation,AI tool proficiency;SEO expertise,Yes,,,,,,
2024/11/18 11:07:30 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Email newsletters;SEO Content,Technology;Finance;E-commerce,Social media;Referrals,"₦200,000 - ₦500,000",Nigerian companies,26-50%,Chat GPT;Copy AI;Grammarly;Perplexity AI ,Generating ideas;Writing first drafts,5 - 6 days,Finding high-paying clients;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Data analysis,Yes,Continuous learning and implementation,Referrals ,I haven't taken note of any ,,,
2024/11/19 11:53:10 AM GMT+1,4 - 6 years,She/Her,18-30,Ibadan ,Bachelor's Degree,Blog posts;Website content;Email newsletters;SEO Content,SAAS;Technology;Finance;Education;E-commerce,Referrals;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Both local and international,26-50%,Chat GPT,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Market saturation;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,Maybe,"Being a voracious learner (if there's anything like that, lol). I am very intentional about improving my skills. Building and maintaining relationships with fellow writers and clients too. This is especially useful in getting opportunities and referrals.",Cold pitching and referrals. Also checking in with previous clients to see if they have any project they'd like me to take on. ,"#Trend 1: More AI generated Content - Do I think AI will replace writers? Not really. But it's getting more important to “write like a human”. Personally, I'm improving my skills on how to tell compelling stories because creativity in content matters more now than ever. 

#Trend 2: The market will get more saturated - I used to think that there were so manyyyy freelance writers back in 2022, but now? Oh Jeez 😅. I think one thing that will help any writing professional stand out in a saturated market is to build credibility. I'm currently working on that right now. Have bylines in reputable publications or in reputable companies (Guest posting is a cheat code to this). Another way to get great bylines is to pitch local or international magazines on topic areas you're interested in or have subject matter expertise. Be very intentional about keeping a good reputation too. Give your clients or any company you work with a great experience and ask them to drop a recommendation on your social profile. ","HR/HR Tech
Productivity, Project and Resource Management Software 
E-commerce 
Manufacturing, Inventory and Supply Chain management 
Real Estate 
Finance ","Build credibility (refer to previous answer on how to do this). 
Experiment for a while before choosing to niche down (industry and content format). You never know what you'll like. 
Have a long-term mindset towards your career: one opportunity always leads to better opportunities. Put your best in now because it will be the springboard to your dream opportunity. 
Work ‘on’ your business not only ‘in’ your business. What this means is to always improve and market yourself, regardless of if you have a full workload or not. Schedule time to take courses, improve your skills, pitch new clients, build your portfolio, post online and so on. ",Maybe more conferences and events.  
2024/11/19 3:56:01 PM GMT+1,6 - 8 years,She/Her,18-30,Abuja,Bachelor's Degree,Blog posts;Website content;Email newsletters;SEO Content,SAAS;Technology;E-commerce,Social media;Referrals,"₦500,000 - ₦2,000,000",International companies,0-25%,Grammarly;Quillbot;,Summaries,5 - 6 days,Finding high-paying clients;Technological challenges,Data analysis;Content strategy,Maybe,"Soft skills, systems and doing excellent work","Referrals, showing up in the right spaces, relationships",N/A ,"Technology, social media and eCommerce","- Focus on building relationships early.

- Learn to measure the impact your writing has on your clients' bottomlines.",N/A
2024/11/19 6:52:58 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,"SAAS;Technology;Education;Real estate, digital marketing and interior design",Social media;Freelance platforms,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly;Zerogpt,Editing content,1 - 2 days,Finding high-paying clients;Market saturation,AI tool proficiency;SEO expertise;Content strategy,Yes,Having a personal brand and meeting clients' deadlines,Social media and my brand,"Low-quality articles, daring to reach out to international clients. I'm upskilling and surfing freelance platforms to get international clients","Technology, SaaS, Finance and Health","Get better everytime. Improve and don't be scared to charge your worth. Well, you'll grow in that confidence once you realize what it takes to create high-quality content.",Tools that are Nigeria-made so it isn't expensive to access like SEMrush and co.
2024/11/19 10:23:25 PM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Technology;E-commerce,Social media;Referrals;LinkedIn,"₦200,000 - ₦500,000",Both local and international,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Payment issues;Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy,Yes,"Improving my writing, reading great content pieces, and having a great editor.",Mostly referrals and being visible on LinkedIn to get prospects.,More thought leadership and data-led content that draws insights from the brand experience. ,B2B SaaS content,Learn the fundamentals of content writing and stick to writing helpful content before anything else.,More community events and collaboration between writers. 
2024/11/22 2:18:53 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;Technical writing;SEO Content,Education;Beauty and Skincare,LinkedIn;Direct pitching,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Grammarly;Quillbot,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Connectivity issues;Market saturation,Content strategy,No,Self-learning,Pitching,AI and content strategy,"Education Technology, Beauty and Skincare",Create a vast potfolio and network a lot,By helping one another in individual weak areas in the field.
2024/11/23 6:35:08 AM GMT+1,2 - 4 years,He/Him,18-30,Abuja,Bachelor's Degree,Blog posts;Social media content;SEO Content,SAAS;Technology,Social media;Freelance platforms;LinkedIn,"₦500,000 - ₦2,000,000",Both local and international,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Market saturation;Meeting deadlines & maintaining high quality standards,AI tool proficiency;Data analysis;Content strategy,No,My communication skills. I communicate effectively and consistently to my clients and ensure they’re aware of every tiny bit of detail in the project ,Sending proposals on freelance platforms (Upwork),Massive adoption of Gen AI technology. I’m learning a lot about these technologies and how to effectively use them ,AI,Always deliver perfect work and hold yourself to the highest standard possible while starting out,having more valuable networking events and conferences strictly for content writers would go a long way
2024/11/23 7:29:49 AM GMT+1,Less than 2 years,He/Him,18-30,Kwara,Bachelor's Degree,Blog posts;Website content;SEO Content,Education;E-commerce,LinkedIn;Direct pitching,"Below ₦200,000",International companies,26-50%,Chat GPT;Grammarly;Quillbot,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Payment issues,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,AI Tools and Free SEO Content writing training(By Godwin shaibu and Victoria Alabi),Direct Pitching,"Content writer needs to learn how to make ""good prompts"".",I am not sure.,Volunteer to give yourself visibilty! The free blogs I wrote was the only portfolio I showed to my employer which got me a $100 monthy stipend as an SEO Content Writer.,Mentorship from highly experienced Content Writer.
2024/11/24 11:00:34 AM GMT+1,Less than 2 years,She/Her,18-30,Lagos,Bachelor's Degree,Website content;Social media content;SEO Content,Technology;Finance;Healthcare;E-commerce,Social media;LinkedIn;Direct pitching,"Below ₦200,000",Nigerian companies,51-75%,Chat GPT;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Payment issues;Meeting deadlines & maintaining high quality standards;Lack of requires skills,SEO expertise;Content strategy,Yes,,,,,,
2024/11/24 8:46:54 PM GMT+1,6 - 8 years,She/Her,18-30,Onitsha ,Secondary School Certificate,Blog posts;Website content;SEO Content,SAAS;Technology,Social media;Referrals;LinkedIn,"Above ₦2,000,000",International companies,0-25%,Chat GPT;Copy AI;Grammarly,Generating ideas,3 - 4 days,Meeting deadlines & maintaining high quality standards,Content strategy,Maybe,Dedication to excellence ,Sharing on LinkedIn ,,,Find community ,
2024/11/25 11:03:38 AM GMT+1,2 - 4 years,She/Her,31-35,Port - Harcourt,National Diploma ,Blog posts;Website content;Social media content;Email newsletters;SEO Content,Technology;Education,Referrals,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Quillbot,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Market saturation;Payment issues,SEO expertise;Content strategy,Maybe,"Courses, Groups like FCDC",Referrals ,"High demand for niches around tech, SAAS","SAAS, Tech, SEO, AI Policy",Talk about what you do. A lot. ,"Sharing opportunities, tips and hacks. "
2024/11/25 7:52:13 PM GMT+1,2 - 4 years,She/Her,18-30,Abuja,Bachelor's Degree,SEO Content,SAAS,LinkedIn,"₦200,000 - ₦500,000",International companies,0-25%,Chat GPT,Generating ideas;Writing first drafts,3 - 4 days,Finding high-paying clients,AI tool proficiency,Maybe,Openness to learn,LinkedIn ,In person events ,SaaS,Spend more time on LinkedIn ,Through in person events
